id	authors	year	title	journal	doi	pmid	language	languageGroup	country	recordType	recordTypeCode	caseShape	caseCount	caseCountNumeric	accessCode	accessLabel	publicLinkUrl	coConsciousness	amnesia	amnesiaDirectionality	voluntarySwitching	treatmentGoal	outcome	diagnosticDelayYears	psychosisPriorOrDifferential	moodPriorOrDifferential	bpdPriorOrDifferential	childAlters	oppositeSexAlters	nonHumanAlters	bilingualAlters
ARG_001	Cazabat, E.H.	2003	Abuso sexual y disociaci_n: un caso cl_nico	Interpsiquis IV (congress)			Spanish	European and Latin-script non-English	Argentina	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		yes	not_stated	not_stated	not_stated	integration_or_fusion	integration_or_partial_integration		no	no	no	not_stated	not_stated	not_stated	not_stated
AUS_001	Bryant RA	1995	Autobiographical memory across personalities in dissociative identity disorder: a case report	Journal of Abnormal Psychology	10.1037//0021-843x.104.4.625	8530765	English	English-language sources	Australia	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.1037//0021-843x.104.4.625	partial	yes	unclear	partial	not_stated	other_described		no	yes	no	yes	not_stated	not_stated	not_stated
AUS_002	Fairley M, Jones RC, McGuire BE, Stevenson J	1995	Multiple personality disorder in an intellectually disabled man: a case report	Australian and New Zealand Journal of Psychiatry	10.3109/00048679509075904	7625965	English	English-language sources	Australia	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.3109/00048679509075904	yes	not_stated	not_stated	partial	other_described	other_described		yes	no	no	no	yes	no	not_stated
AUS_003	Suetani S, Markwick E	2014	Meet Dr Jekyll: a case of a psychiatrist with dissociative identity disorder	Australasian Psychiatry	10.1177/1039856214547424	25147320	English	English-language sources	Australia	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.1177/1039856214547424	partial	yes	not_stated	not_stated	not_stated	not_stated		no	no	no	yes	no	no	not_stated
AUS_004	Lim, E.C.N., & Lim, C.E.D.	2025	The Diagnostic Odyssey of Dissociative Identity Disorder: A Case Report of Prolonged Misrecognition	Cureus	10.7759/cureus.77575	40538703	English	English-language sources	Australia	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://pmc.ncbi.nlm.nih.gov/articles/PMC12176501/	not_stated	yes	not_stated	not_stated	other_described	other_described	5	no	yes	no	not_stated	not_stated	not_stated	not_stated
AUT_001	Schiepek GK, Stoger-Schmidinger B, Aichhorn W, Scholler H, Aas B	2016	Systemic Case Formulation, Individualized Process Monitoring, and State Dynamics in a Case of Dissociative Identity Disorder	Frontiers in Psychology	10.3389/fpsyg.2016.01545	27812338	English	English-language sources	Austria	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.3389/fpsyg.2016.01545	not_stated	yes	unclear	not_stated	safety_or_stabilization	integration_or_partial_integration		no	no	yes	yes	not_stated	no	not_stated
AUT_002	Nassan-Agha-Schroll, Steidl, Aigner	2019	Dissoziative St_rung einst und jetzt	psychopraxis.neuropraxis, 23:24-27	10.1007/s00739-019-00606-7		German	European and Latin-script non-English	Austria	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.1007/s00739-019-00606-7	not_stated	not_stated	not_stated	not_stated	other_described	improved_functioning		yes	yes	yes	not_stated	not_stated	not_stated	not_stated
AUT_003	Aichberger, M.C., & Kocsis-Bog_r, K.	2024	Rezidivierende Traumatisierung als Wegbereiter f_r Komorbidit_ten im Bereich dissoziativer und psychosomatischer St_rungen	psychopraxis. neuropraxis	10.1007/s00739-024-01034-y		German	European and Latin-script non-English	Austria	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.1007/s00739-024-01034-y	yes	no	not_stated	not_stated	integration_or_fusion	integration_or_partial_integration		yes	yes	no	not_stated	not_stated	not_stated	not_stated
BEL_001	Emmanuel de Becker	2020	L'adolescent aux diagnostics multiples ou le TDI _ l'adolescence	Annales m_dico-psychologiques 178(4):366-372	10.1016/j.amp.2019.07.001		French	European and Latin-script non-English	Belgium	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.1016/j.amp.2019.07.001	not_stated	not_stated	not_stated	not_stated	integration_or_fusion	other_described	3	yes	yes	no	not_stated	not_stated	not_stated	not_stated
BEL_003	Michielsen, B.	2024	M_tamorphose et trouble dissociatif : le cas d'Ana M.	Cahiers de psychologie clinique	10.3917/cpc.063.0077		French	European and Latin-script non-English	Belgium	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.3917/cpc.063.0077	not_stated	yes	not_stated	not_stated	trauma_processing	improved_functioning		yes	no	no	not_stated	not_stated	not_stated	not_stated
BOL_001	Unknown	2011	Trastorno disociativo: a prop_sito de un caso	Revista Soc. Boliviana de Pediatr_a 50(3)			Spanish	European and Latin-script non-English	Bolivia	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		not_stated	yes	not_stated	not_stated	not_stated	not_stated		no	no	no	not_stated	yes	not_stated	not_stated
BRA_001	Faria MA	2007	Impacto do trauma e dissocia__o na personalidade m_ltipla	Dissertation, Univ. Cat_lica de Bras_lia			Portuguese	European and Latin-script non-English	Brazil	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		partial	yes	mixed_or_variable	not_stated	integration_or_fusion	integration_or_partial_integration		no	yes	no	not_stated	no	no	yes
BRA_006	Faria MA	2008	O Teste de Pfister e o Transtorno Dissociativo de Identidade	Avaliacao Psicologica 7(3):359-370			Portuguese	European and Latin-script non-English	Brazil	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		not_stated	yes	not_stated	not_stated	integration_or_fusion	integration_or_partial_integration		no	yes	no	not_stated	not_stated	not_stated	not_stated
BRA_002	Santos MP et al.	2015	Transtorno dissociativo de identidade: relato e estudo de caso	Debates em Psiquiatria 5(2):32-37			Portuguese	European and Latin-script non-English	Brazil	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		uncertain	yes	not_stated	not_stated	safety_or_stabilization	improved_functioning	10	yes	no	yes	yes	yes	not_stated	not_stated
BRA_007	Delmonte R, Lucchetti G, Moreira-Almeida A, Farias M	2016	Can the DSM-5 differentiate between nonpathological possession and dissociative identity disorder? A case study from an Afro-Brazilian religion	Journal of Trauma and Dissociation 17(3):322-337	10.1080/15299732.2015.1103351		English	English-language sources	Brazil	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.1080/15299732.2015.1103351	mixed_or_variable	yes	mixed_or_variable	partial	integration_or_fusion	other_described		no	no	no	yes	yes	not_stated	not_stated
BRA_008	Martins, H.A.L., Ribas, V.R., Dos Santos Ribas, K.H., da Fonseca Lins, L., & Mainieri, A.G.	2022	Case Report: Anomalous Experience in a Dissociative Identity and Borderline Personality Disorder	Frontiers in Psychiatry	10.3389/fpsyt.2022.662290	35923455	English	English-language sources	Brazil	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2022.662290/full	not_stated	yes	not_stated	no	integration_or_fusion	improved_functioning		yes	yes	no	not_stated	uncertain	no	not_stated
BRA_009	Risson, B.R.S., Fontana, G.S., & Fontana, J.K.E.	2022	A pregnant woman diagnosed with dissociative identity disorder	Brazilian Journal of Case Reports	10.52600/2763-583X.bjcr.2022.2.4.57-61		English	English-language sources	Brazil	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.52600/2763-583X.bjcr.2022.2.4.57-61	partial	yes	asymmetric	no	other_described	other_described		no	no	no	yes	no	no	not_stated
BRA_004	Cardoso, B.B.; Cunha, E.M.F.; Ikemoto, R.A.; Duarte, J.; Bernardes, P.S.; Moreira, M.A.M.	2024	Transtorno Dissociativo de Identidade em um paciente com 12 personalidades: um relato de caso	Brazilian Journal of Health Review	10.34119/bjhrv7n2-397		Portuguese	European and Latin-script non-English	Brazil	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.34119/bjhrv7n2-397	yes	yes	not_stated	no	integration_or_fusion	improved_functioning	5	yes	yes	no	not_stated	no	no	no
CAN_001	Salama AA	1980	Multiple personality. A case study	Canadian Journal of Psychiatry	10.1177/070674378002500706	7437999	English	English-language sources	Canada	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.1177/070674378002500706	partial	yes	asymmetric	partial	integration_or_fusion	improved_functioning		no	yes	no	not_stated	no	no	not_stated
CAN_004	Ghadirian AM, Lehmann HE, Dongier M, Kolivakis T	1985	Multiple Personality in a Case of Functional Psychosis	Comprehensive Psychiatry	10.1016/S0010-440X(85)90046-X		English	English-language sources	Canada	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.1016/S0010-440X(85)90046-X	no	yes	unclear	partial	other_described	other_described		yes	yes	no	no	no	no	not_stated
CAN_005	Ross CA, Norton GR, Wozney K	1989	Multiple Personality Disorder: An Analysis of 236 Cases	Canadian Journal of Psychiatry			English	English-language sources	Canada	Case series	case_series	Large Case Series	236	236	restricted_local_source	Restricted local full text on file		not_stated	yes	not_stated	not_stated	not_stated	not_stated	6.7	yes	no	no	yes	yes	yes	not_stated
CAN_002	Ross CA, Miller SD, Reagor P, Bjornson L, Fraser GA, Anderson G	1990	Abuse histories in 102 cases of multiple personality disorder	Canadian Journal of Psychiatry		2044042	English	English-language sources	Canada	Case report	case_report	Large Case Series	102	102	external_link_available	External record link available	https://pubmed.ncbi.nlm.nih.gov/2044042/	not_stated	yes	not_stated	not_stated	not_stated	not_stated		no	no	no	not_stated	not_stated	not_stated	not_stated
CAN_003	Fotheringham JB, Thompson F	1994	Case report of a person with Down's syndrome and multiple personality disorder	Canadian Journal of Psychiatry	10.1177/070674379403900210	8149315	English	English-language sources	Canada	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.1177/070674379403900210	partial	uncertain_or_partial	not_stated	not_stated	functioning_or_cooperation	other_described		no	no	no	yes	yes	no	not_stated
CHN_001	Liu, J.X. (_建_)	1994	童年早期多重人格（附5例_告） [Multiple personalities in early childhood: report of 5 cases]	中国心理_生_志 (Chinese Journal of Mental Health)	not found	not indexed	Chinese	East Asian languages	China (Mainland)	Case report	case_report	Small Case Series	5	5	external_link_available	External record link available	https://doi.org/not found	mixed_or_variable	yes	not_stated	not_stated	trauma_processing	integration_or_partial_integration		no	no	no	not_stated	not_stated	not_stated	not_stated
CHN_003	Yuan Qinmei, Yang Huan, Cao Yuping	2021	Four-personality dissociative identity disorder: one case	Chinese Journal of Nervous and Mental Disorders 47(8)	10.3969/j.issn.1002-0152.2021.08.008		Chinese	East Asian languages	China (Mainland)	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.3969/j.issn.1002-0152.2021.08.008	yes	yes	host_to_alter_predominant	yes	safety_or_stabilization	improved_functioning	8	yes	yes	no	not_stated	not_stated	not_stated	not_stated
CHN_002	Chen Yanchao, Zhao Rui, Guo Zhiguo, Lyu Dongsheng	2023	Hypnotherapy for dissociative disorder in an adolescent: one case with literature review	Chinese journal article 1005-3220(2023)01-0067-03			Chinese	East Asian languages	China (Mainland)	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		not_stated	yes	not_stated	no	integration_or_fusion	improved_functioning		no	no	no	not_stated	not_stated	not_stated	not_stated
CHN_004	Zhang Youmei, Ao Chunjiang	2024	Seven-personality dissociative identity disorder: one case	Chinese Journal of Psychiatry 57(11)			Chinese	East Asian languages	China (Mainland)	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		yes	yes	host_to_alter_predominant	yes	functioning_or_cooperation	improved_functioning	7	no	no	no	yes	yes	not_stated	not_stated
CHN_005	Zhou Shuang, Geng Bojing, Song Yu, Zhang Xujing, Zhang Xin	2024	A case of dissociative identity disorder comorbid with gender identity disorder	Chinese Medical Case Repository 2024(6)			Chinese	East Asian languages	China (Mainland)	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		yes	yes	not_stated	not_stated	integration_or_fusion	other_described	2	yes	no	no	not_stated	yes	not_stated	not_stated
MAC_001	Unknown	2023	Working with Chinese trauma survivors with dissociation: two cases in Macao	Asian Journal of Psychiatry			English	English-language sources	China/Macao	Case report	case_report	Two Case Report	2	2	restricted_local_source	Restricted local full text on file		yes	yes	unclear	not_stated	integration_or_fusion	not_stated		no	yes	no	yes	not_stated	not_stated	not_stated
DNK_003	Schmidt Laeborg, H.L., & Kjolbye, M.	2018	Multipel personlighed hos en 15-arig pige [Multiple personalities in a 15-year-old girl]	Ugeskrift for L?ger			Danish	European and Latin-script non-English	Denmark	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://ugeskriftet.dk/videnskab/multipel-personlighed-hos-en-15-arig-pige	yes	yes	not_stated	not_stated	not_stated	not_stated		no	no	no	not_stated	yes	not_stated	not_stated
DNK_001	Nielsen LMK, Mikkelsen MP, S_rensen AV	2022	Diagnostiske overvejelser ved 16-_rig pige med multiple personligheder	Ugeskrift for L_ger 184:V04220276			Danish	European and Latin-script non-English	Denmark	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		yes	no	unclear	not_stated	not_stated	other_described		no	no	no	not_stated	not_stated	yes	not_stated
MIX_001	Salama, A.A.	2005	Multiple Personality Disorder: A Review and a Case Study	JIMA, 37(2)	10.5915/37-2-6502		English	English-language sources	Egypt/USA	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://jima.imana.org/article/download/6502/5863/12269	not_stated	yes	not_stated	not_stated	not_stated	not_stated		no	no	no	not_stated	no	no	not_stated
